,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,Loan_Amount_Term,Credit_History,Property_Area,TotalIncometrainlog,LoanAmountlog,LoanStatus
0,LP001002,1,0,0,0,0,5849,360.0,1.0,2,8.674025985443025,4.986425672954842,1
1,LP001003,1,1,1,0,0,4583,360.0,1.0,0,8.714567550836485,4.852030263919617,0
2,LP001005,1,1,0,0,1,3000,360.0,1.0,2,8.006367567650246,4.189654742026425,1
3,LP001006,1,1,0,1,0,2583,360.0,1.0,2,8.50532301884575,4.787491742782046,1
4,LP001008,1,0,0,0,0,6000,360.0,1.0,2,8.699514748210191,4.948759890378168,1
5,LP001011,1,1,2,0,1,5417,360.0,1.0,2,9.170871628065816,5.58724865840025,1
6,LP001013,1,1,0,1,0,2333,360.0,1.0,2,8.255568653283746,4.553876891600541,1
7,LP001014,1,1,3,0,0,3036,360.0,0.0,1,8.61974977974133,5.062595033026967,0
8,LP001018,1,1,2,0,0,4006,360.0,1.0,2,8.61830469278465,5.123963979403259,1
9,LP001020,1,1,1,0,0,12841,360.0,1.0,1,10.077818939438902,5.855071922202427,0
10,LP001024,1,1,2,0,0,3200,360.0,1.0,2,8.268731832117737,4.248495242049359,1
11,LP001027,1,1,2,0,0,2500,360.0,1.0,2,8.375629627094451,4.6913478822291435,1
12,LP001028,1,1,2,0,0,3073,360.0,1.0,2,9.321792297270326,5.298317366548036,1
13,LP001029,1,0,0,0,0,1853,360.0,1.0,0,8.453827315794417,4.736198448394496,0
14,LP001030,1,1,2,0,0,1299,120.0,1.0,2,7.776954403322442,2.833213344056216,1
15,LP001032,1,0,0,0,0,4950,360.0,1.0,2,8.507142855562735,4.8283137373023015,1
16,LP001034,1,0,1,1,0,3596,240.0,1.0,2,8.18757739559151,4.605170185988092,1
17,LP001036,0,0,0,0,0,3510,360.0,0.0,2,8.163371316459912,4.330733340286331,0
18,LP001038,1,1,0,1,0,4887,360.0,1.0,0,8.494333897270154,4.890349128221754,0
19,LP001041,1,1,0,0,0,2600,360.0,1.0,2,8.716044050161402,4.74493212836325,1
20,LP001043,1,1,0,1,0,7660,360.0,0.0,2,8.943767262734637,4.6443908991413725,0
21,LP001046,1,1,1,0,0,5955,360.0,1.0,2,9.357034751126987,5.752572638825633,1
22,LP001047,1,1,0,1,0,2600,360.0,0.0,1,8.414274137408396,4.7535901911063645,0
23,LP001050,1,1,2,1,0,3365,360.0,0.0,0,8.572060092857077,4.718498871295094,0
24,LP001052,1,1,1,0,0,3717,360.0,1.0,1,8.801168401936692,5.017279836814924,0
25,LP001066,1,1,0,0,1,9560,360.0,1.0,1,9.165343006045447,5.25227342804663,1
26,LP001068,1,1,0,0,0,2799,360.0,1.0,1,8.527539483470381,4.804021044733257,1
27,LP001073,1,1,2,1,0,4226,360.0,1.0,2,8.569026340056254,4.700480365792417,1
28,LP001086,1,0,0,1,0,1442,360.0,1.0,2,7.273786317844895,3.5553480614894135,0
29,LP001087,0,0,2,0,0,3750,360.0,1.0,1,8.671286726753637,4.787491742782046,1
30,LP001091,1,1,1,0,0,4166,360.0,1.0,2,8.927314111060596,5.303304908059076,0
31,LP001095,1,0,0,0,0,3167,360.0,1.0,2,8.06054004653864,4.30406509320417,0
32,LP001097,1,0,1,0,1,4692,360.0,1.0,0,8.453614209773367,4.663439094112067,0
33,LP001098,1,1,0,0,0,3500,360.0,1.0,1,8.550047528287184,4.736198448394496,1
34,LP001100,1,0,3,0,0,12500,360.0,1.0,0,9.648595302907339,5.768320995793772,0
35,LP001106,1,1,0,0,0,2275,360.0,1.0,2,8.376090350438238,4.986425672954842,1
36,LP001109,1,1,0,0,0,1828,360.0,0.0,2,8.057694194815587,4.605170185988092,0
37,LP001112,0,1,0,0,0,3667,360.0,1.0,1,8.542080906924017,4.969813299576001,1
38,LP001114,1,0,0,0,0,4166,360.0,1.0,2,9.339261152043022,5.214935757608986,1
39,LP001116,1,0,0,1,0,3748,360.0,1.0,1,8.59711281459211,4.700480365792417,1
40,LP001119,1,0,0,0,0,3600,360.0,1.0,2,8.1886891244442,4.382026634673881,0
41,LP001120,1,0,0,0,0,1800,360.0,1.0,2,8.0106915391303,3.8501476017100584,1
42,LP001123,1,1,0,0,0,2400,360.0,1.0,2,7.783224016336037,4.31748811353631,1
43,LP001131,1,1,0,0,0,3941,360.0,1.0,1,8.744647438317532,4.897839799950911,1
44,LP001136,1,1,0,1,1,4695,360.0,1.0,2,8.454253391642363,4.564348191467836,1
45,LP001137,0,0,0,0,0,3410,360.0,1.0,2,8.134467570277563,4.477336814478207,1
46,LP001138,1,1,1,0,0,5649,360.0,1.0,2,8.639233817325263,3.784189633918261,1
47,LP001144,1,1,0,0,0,5821,360.0,1.0,2,8.669227347271736,4.969813299576001,1
48,LP001146,0,1,0,0,0,2645,360.0,0.0,2,8.713582005421628,4.787491742782046,0
49,LP001151,0,0,0,0,0,4000,360.0,1.0,1,8.744328763999984,4.969813299576001,1
50,LP001155,0,1,0,1,0,1928,360.0,1.0,1,8.18088094199639,4.605170185988092,1
51,LP001157,0,0,0,0,0,3086,360.0,1.0,1,8.034631032923107,4.787491742782046,1
52,LP001164,0,0,0,0,0,4230,360.0,1.0,1,8.349957272040324,4.718498871295094,0
53,LP001179,1,1,2,0,0,4616,360.0,1.0,2,8.437283808187935,4.897839799950911,0
54,LP001186,0,1,1,0,1,11500,360.0,0.0,2,9.350102314351341,5.655991810819852,0
55,LP001194,1,1,2,0,0,2708,360.0,1.0,1,8.262300941787448,4.574710978503383,1
56,LP001195,1,1,0,0,0,2132,360.0,1.0,1,8.222285073872717,4.564348191467836,1
57,LP001197,1,1,0,0,0,3366,360.0,1.0,0,8.624431942085836,4.90527477843843,0
58,LP001198,1,1,1,0,0,8080,360.0,1.0,2,9.242807562113684,5.19295685089021,1
59,LP001199,1,1,2,1,0,3357,360.0,1.0,2,8.734881892047483,4.969813299576001,1
60,LP001205,1,1,0,0,0,2500,360.0,1.0,2,8.74766979009724,4.787491742782046,1
61,LP001206,1,1,3,0,0,3029,360.0,1.0,2,8.015987811027237,4.59511985013459,1
62,LP001207,1,1,0,1,1,2609,180.0,0.0,0,8.709134991587183,5.10594547390058,0
63,LP001213,1,1,1,0,0,4945,360.0,0.0,0,8.506132244056813,4.986425672954842,0
64,LP001222,0,0,0,0,0,4166,360.0,0.0,1,8.334711621820917,4.7535901911063645,0
65,LP001225,1,1,0,0,0,5726,360.0,1.0,1,9.241935933565934,5.552959584921617,0
66,LP001228,1,0,0,1,0,3200,180.0,0.0,2,8.604104563405533,4.836281906951478,0
67,LP001233,1,1,1,0,0,10750,360.0,1.0,2,9.28266103355581,5.7430031878094825,1
68,LP001238,1,1,3,1,1,7100,60.0,1.0,2,8.867850063029406,4.8283137373023015,1
69,LP001241,0,0,0,0,0,4300,360.0,0.0,1,8.366370301681654,4.912654885736052,0
70,LP001243,1,1,0,0,0,3208,360.0,1.0,2,8.744169388750624,5.147494476813453,1
71,LP001245,1,1,2,1,1,1875,360.0,1.0,1,8.229511118964457,4.574710978503383,1
72,LP001248,1,0,0,0,0,3500,300.0,1.0,1,8.160518247477505,4.394449154672439,1
73,LP001250,1,1,3,1,0,4755,360.0,0.0,1,8.46695197497949,4.553876891600541,0
74,LP001253,1,1,3,0,1,5266,360.0,1.0,1,8.859363449152088,5.231108616854587,1
75,LP001255,1,0,0,0,0,3750,480.0,1.0,2,8.229511118964457,4.727387818712341,0
76,LP001256,1,0,0,0,0,3750,360.0,1.0,2,9.047821442478408,5.170483995038151,0
77,LP001259,1,1,1,0,1,1000,360.0,1.0,2,8.299534570332597,4.700480365792417,0
78,LP001263,1,1,3,0,0,3167,300.0,0.0,1,8.877242435993919,5.19295685089021,0
79,LP001264,1,1,3,1,1,3333,360.0,1.0,1,8.612321536507814,4.867534450455582,1
80,LP001265,0,0,0,0,0,3846,360.0,1.0,1,8.254788926148725,4.709530201312334,1
81,LP001266,1,1,1,0,1,2395,360.0,1.0,1,7.781138509845015,4.986425672954842,1
82,LP001267,0,1,2,0,0,1378,360.0,1.0,2,8.089175678837561,5.117993812416755,0
83,LP001273,1,1,0,0,0,6000,360.0,1.0,1,9.017968479328726,5.579729825986222,0
84,LP001275,1,1,1,0,0,3988,240.0,1.0,2,8.291045131081729,3.912023005428146,1
85,LP001279,1,0,0,0,0,2366,360.0,1.0,1,8.496378051702317,4.912654885736052,1
86,LP001280,1,1,2,1,0,3333,360.0,1.0,1,8.581669210600602,4.59511985013459,1
87,LP001282,1,1,0,0,0,2500,360.0,1.0,1,8.43771698991444,4.6443908991413725,1
88,LP001289,1,0,0,0,0,8566,360.0,1.0,2,9.055556158175316,5.3471075307174685,1
89,LP001310,1,1,0,0,0,5695,360.0,1.0,1,9.196444266784072,5.1647859739235145,1
90,LP001316,1,1,0,0,0,2958,360.0,1.0,1,8.675563527387679,4.875197323201151,1
91,LP001318,1,1,2,0,0,6250,180.0,1.0,1,9.384629757072872,5.236441962829949,1
92,LP001319,1,1,2,1,0,3273,360.0,1.0,2,8.535622326884605,4.394449154672439,1
93,LP001322,1,0,0,0,0,4133,360.0,1.0,1,8.326758814511733,4.804021044733257,1
94,LP001325,1,0,0,1,0,3620,120.0,1.0,1,8.194229304819817,3.2188758248682006,1
95,LP001326,1,0,0,0,0,6782,360.0,1.0,2,8.822027322685583,4.986425672954842,0
96,LP001327,0,1,0,0,0,2484,360.0,1.0,1,8.47345026846832,4.919980925828125,1
97,LP001333,1,1,0,0,0,1977,360.0,1.0,1,7.9976631270201,3.912023005428146,1
98,LP001334,1,1,0,1,0,4188,180.0,1.0,1,8.339978571990427,4.74493212836325,1
99,LP001343,1,1,0,0,0,1759,360.0,1.0,1,8.575462099540212,4.875197323201151,1
100,LP001345,1,1,2,1,0,4288,180.0,1.0,2,8.929435283803425,4.890349128221754,1
101,LP001349,1,0,0,0,0,4843,360.0,1.0,1,9.065198986306513,5.017279836814924,1
102,LP001350,1,1,0,0,0,13650,360.0,1.0,2,9.521494800613105,4.986425672954842,1
103,LP001356,1,1,0,0,0,4652,360.0,1.0,1,9.016148642611741,4.986425672954842,1
104,LP001357,1,1,0,0,0,3816,360.0,1.0,2,8.42726848388825,5.075173815233827,1
105,LP001367,1,1,1,0,0,3052,360.0,1.0,2,8.31434234336979,4.605170185988092,1
106,LP001369,1,1,2,0,0,11417,360.0,1.0,2,9.436918020024674,5.41610040220442,1
107,LP001370,1,0,0,1,0,7333,360.0,1.0,0,8.9001399880938,4.787491742782046,0
108,LP001379,1,1,2,0,0,3800,360.0,0.0,2,8.909235279192261,5.375278407684165,0
109,LP001384,1,1,3,1,0,2071,480.0,1.0,1,7.946263643580541,4.543294782270004,1
110,LP001385,1,0,0,0,0,5316,360.0,1.0,2,8.578476419833136,4.912654885736052,1
111,LP001387,0,1,0,0,0,2929,360.0,1.0,1,8.568266461600238,4.9344739331306915,1
112,LP001391,1,1,0,1,0,3572,360.0,0.0,0,8.94715577112479,5.0238805208462765,0
113,LP001392,0,0,1,0,1,7451,360.0,1.0,1,8.916103530553727,4.986425672954842,1
114,LP001398,1,0,0,0,0,5050,360.0,1.0,1,8.527143522269405,4.770684624465665,1
115,LP001401,1,1,1,0,0,14583,180.0,1.0,0,9.587611745713565,5.220355825078324,1
116,LP001404,0,1,0,0,0,3167,360.0,1.0,1,8.60337088765729,5.0369526024136295,1
117,LP001405,1,1,1,0,0,2214,360.0,1.0,2,8.192016914536875,4.442651256490317,1
118,LP001421,1,1,0,0,0,5568,360.0,1.0,0,8.950273466557375,5.1647859739235145,0
119,LP001422,0,0,0,0,0,10408,360.0,1.0,2,9.250330020192342,5.556828061699537,1
120,LP001426,1,1,0,0,0,5667,360.0,1.0,0,9.0280988119824,5.19295685089021,1
121,LP001430,0,0,0,0,0,4166,360.0,1.0,1,8.334711621820917,3.784189633918261,1
122,LP001431,0,0,0,0,0,2137,360.0,0.0,1,9.316230747233615,4.919980925828125,1
123,LP001432,1,1,2,0,0,2957,360.0,1.0,1,7.9919305198524775,4.394449154672439,1
124,LP001439,1,1,0,1,0,4300,360.0,1.0,0,8.750524669117937,5.267858159063328,1
125,LP001443,0,0,0,0,0,3692,360.0,1.0,0,8.213923595622743,4.532599493153256,1
126,LP001448,1,1,3,0,0,23803,360.0,1.0,0,10.077566902136047,5.91350300563827,1
127,LP001449,1,0,0,0,0,3865,360.0,1.0,0,8.61341204915678,4.986425672954842,1
128,LP001451,1,1,1,0,1,10513,180.0,0.0,2,9.572410734431823,5.075173815233827,0
129,LP001465,1,1,0,0,0,6080,360.0,1.0,0,9.065198986306513,5.204006687076795,0
130,LP001469,1,0,0,0,1,20166,480.0,1.0,2,9.91175329695316,6.476972362889683,1
131,LP001473,1,0,0,0,0,2014,360.0,1.0,2,8.279697133877628,4.30406509320417,1
132,LP001478,1,0,0,0,0,2718,360.0,1.0,1,7.907651594711089,4.248495242049359,1
133,LP001482,1,1,0,0,1,3459,120.0,1.0,1,8.148734808937169,3.2188758248682006,1
134,LP001487,1,0,0,0,0,4895,360.0,1.0,1,8.49596955496461,4.624972813284271,1
135,LP001488,1,1,3,0,0,4000,360.0,1.0,1,9.371608519572305,5.66988092298052,0
136,LP001489,0,1,0,0,0,4583,360.0,1.0,0,8.430109084509125,4.430816798843313,0
137,LP001491,1,1,2,0,1,3316,360.0,1.0,2,8.827028068509152,4.477336814478207,1
138,LP001492,1,0,0,0,0,14999,360.0,0.0,1,9.61573881119536,5.488937726156687,0
139,LP001493,1,1,2,1,0,4200,360.0,1.0,0,8.635864721133736,4.859812404361672,0
140,LP001497,1,1,2,0,0,5042,360.0,1.0,0,8.871365005136852,5.220355825078324,0
141,LP001498,1,0,0,0,0,5417,360.0,1.0,2,8.597297435657898,5.123963979403259,1
142,LP001504,1,0,0,0,1,6950,180.0,1.0,1,8.846496938558838,5.1647859739235145,1
143,LP001507,1,1,0,0,0,2698,360.0,1.0,1,8.462103225098277,4.804021044733257,1
144,LP001508,1,1,2,0,0,11757,180.0,1.0,2,9.372204086867741,5.231108616854587,1
145,LP001514,0,1,0,0,0,2330,360.0,1.0,1,8.827028068509152,4.605170185988092,1
146,LP001516,0,1,2,0,0,14866,360.0,1.0,2,9.60683200528524,4.248495242049359,1
147,LP001518,1,1,1,0,0,1538,360.0,1.0,2,7.993957547573565,3.4011973816621555,1
148,LP001519,0,0,0,0,0,10000,360.0,1.0,0,9.364433907313582,5.41610040220442,0
149,LP001520,1,1,0,0,0,4860,360.0,1.0,1,8.646465527120377,4.8283137373023015,1
150,LP001528,1,0,0,0,0,6277,360.0,0.0,0,8.744647438317532,4.770684624465665,0
151,LP001529,1,1,0,0,1,2577,360.0,1.0,0,8.752581469146884,5.0238805208462765,1
152,LP001531,1,0,0,0,0,9166,360.0,1.0,2,9.123256265069069,5.497168225293202,0
153,LP001532,1,1,2,1,0,2281,360.0,1.0,0,7.732369222284388,4.727387818712341,0
154,LP001535,1,0,0,0,0,3254,360.0,1.0,2,8.087640287778983,3.912023005428146,1
155,LP001536,1,1,3,0,0,39999,180.0,0.0,1,10.596609732783568,6.396929655216146,1
156,LP001541,1,1,1,0,0,6000,360.0,1.0,0,8.699514748210191,5.075173815233827,1
157,LP001543,1,1,1,0,0,9538,360.0,1.0,2,9.16303909885817,5.231108616854587,1
158,LP001546,1,0,0,0,0,2980,360.0,1.0,0,8.529714471969909,4.787491742782046,1
159,LP001552,1,1,0,0,0,4583,360.0,1.0,1,9.23092700558457,5.541263545158426,1
160,LP001560,1,1,0,1,0,1863,360.0,1.0,1,7.973844375944687,4.584967478670572,1
161,LP001562,1,1,0,0,0,7933,360.0,1.0,2,8.978786553302003,5.616771097666572,0
162,LP001565,1,1,1,0,0,3089,360.0,0.0,1,8.382289428951436,4.795790545596741,0
163,LP001570,1,1,2,0,0,4167,360.0,1.0,0,8.633018756921828,5.062595033026967,1
164,LP001572,1,1,0,0,0,9323,180.0,1.0,2,9.140239744296693,4.31748811353631,1
165,LP001574,1,1,0,0,0,3707,360.0,1.0,0,8.835355971121606,5.204006687076795,1
166,LP001577,0,1,0,0,0,4583,360.0,1.0,0,8.430109084509125,4.718498871295094,0
167,LP001578,1,1,0,0,0,2439,360.0,1.0,0,8.660773919893762,4.859812404361672,1
168,LP001579,1,0,0,0,0,2237,480.0,0.0,1,7.71289096149013,4.143134726391533,0
169,LP001580,1,1,2,0,0,8000,360.0,1.0,1,8.987196820661973,5.298317366548036,1
170,LP001581,1,1,0,1,0,1820,360.0,1.0,0,8.185628891147607,4.553876891600541,1
171,LP001585,1,1,3,0,0,51763,300.0,1.0,2,10.854430887309706,6.551080335043404,1
172,LP001586,1,1,3,1,0,3522,180.0,1.0,0,8.166784289056151,4.394449154672439,0
173,LP001594,1,1,0,0,0,5708,360.0,1.0,1,9.335474102732949,5.231108616854587,1
174,LP001603,1,1,0,1,1,4344,360.0,1.0,1,8.533066540572527,4.465908118654584,0
175,LP001606,1,1,0,0,0,3497,360.0,1.0,0,8.605387202152153,4.7535901911063645,1
176,LP001608,1,1,2,0,0,2045,360.0,1.0,0,8.20631072579402,4.61512051684126,1
177,LP001610,1,1,3,0,0,5516,360.0,0.0,1,9.730086093116732,6.20455776256869,0
178,LP001616,1,1,1,0,0,3750,360.0,1.0,1,8.229511118964457,4.7535901911063645,1
179,LP001630,1,0,0,1,0,2333,480.0,0.0,2,8.238536930171769,4.624972813284271,0
180,LP001633,1,1,1,0,0,6400,360.0,0.0,2,9.521494800613105,5.19295685089021,0
181,LP001634,1,0,0,0,0,1916,360.0,1.0,0,8.850660919017152,4.204692619390966,0
182,LP001636,1,1,0,0,0,4600,180.0,1.0,1,8.433811582477187,4.290459441148391,1
183,LP001637,1,1,1,0,0,33846,360.0,1.0,1,10.429576102968031,5.560681631015528,0
184,LP001639,0,1,0,0,0,3625,360.0,1.0,1,8.195609567288775,4.68213122712422,1
185,LP001640,1,1,0,0,1,39147,360.0,1.0,1,10.689601259598334,4.787491742782046,1
186,LP001641,1,1,1,0,1,2178,300.0,0.0,0,7.686162303492906,4.189654742026425,0
187,LP001643,1,1,0,0,0,2383,360.0,1.0,0,8.416488487294606,4.060443010546419,1
188,LP001644,1,1,0,0,1,674,360.0,1.0,0,8.694502206386648,5.123963979403259,1
189,LP001647,1,1,0,0,0,9328,180.0,1.0,0,9.140775908590273,5.236441962829949,1
190,LP001653,1,0,0,1,0,4885,360.0,1.0,0,8.493924564476883,3.871201010907891,1
191,LP001656,1,0,0,0,0,12000,360.0,1.0,1,9.392661928770137,5.099866427824199,0
192,LP001657,1,1,0,1,0,6033,360.0,1.0,2,8.704999678440762,5.075173815233827,0
193,LP001658,1,0,0,0,0,3858,360.0,1.0,1,8.257904193465674,4.330733340286331,1
194,LP001664,1,0,0,0,0,4191,360.0,1.0,0,8.340694647925071,4.787491742782046,1
195,LP001665,1,1,1,0,0,3125,360.0,1.0,1,8.649623978596727,5.135798437050262,0
196,LP001666,1,0,0,0,0,8333,360.0,1.0,0,9.399554785027307,5.231108616854587,1
197,LP001669,0,0,0,1,0,1907,360.0,1.0,2,8.35983738064003,4.787491742782046,1
198,LP001671,0,1,0,0,0,3416,360.0,1.0,1,8.737452587550584,4.727387818712341,1
199,LP001673,1,0,0,0,1,11000,360.0,1.0,2,9.305650551780507,4.418840607796598,0
200,LP001674,1,1,1,1,0,2600,360.0,1.0,1,8.536995818712418,4.499809670330265,1
201,LP001677,1,0,2,0,0,4923,360.0,0.0,1,8.5016733797582,5.111987788356544,1
202,LP001682,1,1,3,1,0,3992,180.0,1.0,2,8.292047637431354,4.986425672954842,0
203,LP001688,1,1,1,1,0,3500,360.0,1.0,2,8.430109084509125,4.90527477843843,1
